#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf61.7.100
#tb 0: 1/60
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1920x1080
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,          1,          1,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,          2,          2,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,          3,          3,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,          4,          4,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,          5,          5,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,          6,          6,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,          7,          7,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,          8,          8,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,          9,          9,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         10,         10,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         11,         11,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         12,         12,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         13,         13,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         14,         14,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         15,         15,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         16,         16,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         17,         17,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         18,         18,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         19,         19,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         20,         20,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         21,         21,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         22,         22,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         23,         23,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         24,         24,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         25,         25,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         26,         26,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         27,         27,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         28,         28,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         29,         29,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         30,         30,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         31,         31,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         32,         32,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         33,         33,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         34,         34,        1,  3110400, 0f1b8a6decd07a56e066dffeb531e144
0,         35,         35,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         36,         36,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         37,         37,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         38,         38,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         39,         39,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         40,         40,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         41,         41,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         42,         42,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         43,         43,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         44,         44,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         45,         45,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         46,         46,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         47,         47,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         48,         48,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         49,         49,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         50,         50,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         51,         51,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         52,         52,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         53,         53,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         54,         54,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         55,         55,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         56,         56,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         57,         57,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         58,         58,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         59,         59,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         60,         60,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         61,         61,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         62,         62,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         63,         63,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         64,         64,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         65,         65,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         66,         66,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         67,         67,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         68,         68,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         69,         69,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         70,         70,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         71,         71,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         72,         72,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         73,         73,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         74,         74,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         75,         75,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         76,         76,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         77,         77,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         78,         78,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         79,         79,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         80,         80,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         81,         81,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         82,         82,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         83,         83,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         84,         84,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         85,         85,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         86,         86,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
0,         87,         87,        1,  3110400, a5205aaf65ec3f8a3cf58c38d934fc31
